a,b,c,abc
563,308,5,867020
978,701,11,7541358
530,174,2,184440
363,764,10,2773320
446,643,2,573556
280,247,7,484120
285,902,8,2056560
360,651,7,1640520
810,665,3,1615950
301,953,2,573706
618,358,10,2212440
104,464,1,48256
414,165,5,341550
401,487,1,195287
101,469,7,331583
143,545,10,779350
136,406,3,165648
793,421,6,2003118
565,158,8,714160
684,647,8,3540384
783,694,11,5977422
750,540,10,4050000
159,921,9,1317951
169,409,5,345605
638,916,7,4090856
503,163,3,245967
186,812,7,1057224
781,297,2,463914
269,797,4,857572
885,509,8,3603720
321,392,7,880824
323,320,1,103360
626,458,4,1146832
304,958,7,2038624
176,521,8,733568
875,326,6,1711500
609,176,9,964656
860,165,7,993300
558,689,1,384462
632,688,11,4782976
956,832,8,6363136
315,206,5,324450
221,883,3,585429
987,378,1,373086
325,712,6,1388400
842,605,9,4584690
661,948,5,3133140
920,232,7,1494080
609,249,8,1213128
965,349,11,3704635
771,322,4,993048
984,625,10,6150000
486,653,7,2221506
748,421,3,944724
655,990,10,6484500
685,370,6,1520700
444,350,2,310800
248,798,9,1781136
669,157,8,840264
175,755,3,396375
358,960,1,343680
121,790,10,955900
515,424,9,1965240
932,145,8,1081120
597,184,4,439392
112,363,2,81312
337,754,8,2032784
580,808,2,937280
768,712,2,1093632
309,200,11,679800
723,194,5,701310
568,174,4,395328
729,667,11,5348673
911,256,8,1865728
792,757,5,2997720
125,136,6,102000
416,750,4,1248000
538,928,6,2995584
816,566,11,5080416
534,344,5,918480
295,154,8,363440
403,658,8,2121392
536,825,5,2211000
797,824,2,1313456
726,489,11,3905154
879,643,5,2825985
774,238,7,1289484
940,393,5,1847100
209,145,2,60610
631,657,6,2487402
679,237,8,1287384
742,285,4,845880
812,338,6,1646736
863,710,9,5514570
458,186,7,596316
961,241,2,463202
809,534,9,3888054
238,685,6,978180
315,386,9,1094310
850,643,1,546550
974,723,4,2816808
638,769,11,5396842
911,393,8,2864184
868,309,7,1877484
992,317,6,1886784
401,830,1,332830
968,950,9,8276400
868,662,6,3447696
850,345,3,879750
917,820,9,6767460
516,517,4,1067088
315,129,1,40635
431,744,11,3527304
663,402,4,1066104
388,827,4,1283504
702,814,1,571428
553,440,8,1946560
700,765,2,1071000
116,581,6,404376
896,868,6,4666368
260,930,9,2176200
886,669,2,1185468
219,524,9,1032804
719,936,10,6729840
897,644,7,4043676
839,528,3,1328976
972,747,3,2178252
840,984,5,4132800
293,961,8,2252584
691,872,1,602552
288,513,10,1477440
382,499,11,2096798
549,796,6,2622024
506,886,6,2689896
615,982,1,603930
276,491,4,542064
969,436,7,2957388
823,384,3,948096
277,129,6,214398
451,161,2,145222
841,449,3,1132827
670,888,10,5949600
193,974,2,375964
363,728,10,2642640
688,854,8,4700416
942,392,3,1107792
376,324,9,1096416
671,494,8,2651792
113,482,8,435728
464,313,5,726160
303,161,3,146349
473,396,7,1311156
702,197,3,414882
231,963,11,2446983
749,440,5,1647800
602,370,2,445480
392,216,10,846720
704,961,1,676544
209,481,3,301587
490,388,4,760480
890,373,4,1327880
116,485,3,168780
161,268,7,302036
343,104,1,35672
582,996,6,3478032
670,142,11,1046540
108,979,5,528660
327,458,9,1347894
479,279,4,534564
626,139,4,348056
848,507,4,1719744
275,931,3,768075
741,655,5,2426775
295,652,8,1538720
339,436,6,886824
840,293,10,2461200
943,648,9,5499576
344,440,3,454080
538,154,10,828520
576,726,4,1672704
374,585,8,1750320
415,152,4,252320
505,103,11,572165
535,630,4,1348200
289,905,2,523090
621,907,8,4505976
518,264,10,1367520
165,136,5,112200
865,228,3,591660
990,531,3,1577070
263,619,3,488391
472,954,10,4502880
374,510,11,2098140
149,253,1,37697
169,147,6,149058
794,529,8,3360208
494,497,1,245518
742,187,6,832524
713,311,2,443486
825,184,1,151800
548,827,10,4531960
504,406,2,409248
359,374,7,939862
680,795,1,540600
407,132,9,483516
437,260,10,1136200
824,196,5,807520
831,564,7,3280788
882,449,6,2376108
981,360,4,1412640
428,249,3,319716
398,691,9,2475162
345,995,9,3089475
459,388,4,712368
378,152,1,57456
450,759,1,341550
868,600,1,520800
526,898,9,4251132
211,386,6,488676
189,817,4,617652
617,155,7,669445
156,294,7,321048
861,144,4,495936
756,334,6,1515024
782,650,7,3558100
290,750,8,1740000
192,740,1,142080
955,607,6,3478110
437,376,3,492936
439,273,5,599235
685,787,10,5390950
931,696,8,5183808
577,326,8,1504816
418,886,2,740696
493,727,2,716822
421,894,3,1129122
997,661,11,7249187
397,690,7,1917510
209,966,10,2018940
554,870,9,4337820
401,442,1,177242
732,426,1,311832
912,707,6,3868704
764,786,1,600504
706,583,1,411598
329,455,3,449085
969,198,2,383724
934,841,8,6283952
523,601,8,2514584
362,191,10,691420
556,339,9,1696356
752,207,3,466992
395,948,2,748920
407,852,8,2774112
859,741,11,7001709
522,359,8,1499184
637,724,6,2767128
299,108,5,161460
701,730,8,4093840
883,547,7,3381007
249,733,10,1825170
735,851,7,4378395
447,623,11,3063291
235,286,2,134420
609,123,4,299628
359,226,10,811340
406,820,7,2330440
755,393,1,296715
705,622,11,4823610
856,224,8,1533952
682,766,7,3656884
765,151,6,693090
709,810,7,4020030
779,416,11,3564704
341,699,9,2145231
206,687,9,1273698
414,198,4,327888
589,475,2,559550
219,429,9,845559
399,468,8,1493856
441,452,11,2192652
469,729,6,2051406
834,539,2,899052
580,532,10,3085600
443,719,2,637034
501,395,6,1187370
515,360,2,370800
870,985,1,856950
425,153,5,325125
201,860,9,1555740
532,518,9,2480184
974,388,3,1133736
365,260,5,474500
376,252,10,947520
441,784,6,2074464
495,448,5,1108800
102,579,11,649638
924,942,6,5222448
289,304,9,790704
691,348,3,721404
864,552,5,2384640
250,985,8,1970000
815,713,1,581095
521,435,1,226635
773,989,2,1528994
105,979,7,719565
423,503,6,1276614
646,111,2,143412
429,564,1,241956
379,571,5,1082045
747,390,9,2621970
154,987,3,455994
886,383,4,1357352
548,985,11,5937580
930,696,2,1294560
344,677,7,1630216
388,102,2,79152
406,783,9,2861082
182,423,7,538902
653,257,5,839105
153,260,4,159120
735,707,10,5196450
683,593,7,2835133
511,228,11,1281588
955,596,2,1138360
307,703,8,1726568
115,204,4,93840
728,830,8,4833920
991,637,2,1262534
331,357,6,709002
254,310,7,551180
891,453,2,807246
982,192,8,1508352
303,126,1,38178
128,486,6,373248
684,592,3,1214784
784,712,8,4465664
562,926,6,3122472
309,421,2,260178
483,146,1,70518
810,566,4,1833840
875,859,11,8267875
593,411,4,974892
549,792,2,869616
178,331,1,58918
227,430,4,390440
421,944,3,1192272
114,532,5,303240
296,947,9,2522808
190,273,3,155610
421,802,1,337642
120,840,11,1108800
354,996,4,1410336
782,115,7,629510
425,899,5,1910375
870,895,7,5450550
592,534,5,1580640
159,757,7,842541
165,578,2,190740
275,936,5,1287000
329,389,1,127981
246,567,8,1115856
628,601,4,1509712
220,930,5,1023000
330,732,8,1932480
131,277,2,72574
786,549,10,4315140
537,849,2,911826
535,673,11,3960605
939,396,6,2231064
974,242,11,2592788
231,422,9,877338
235,854,10,2006900
366,401,2,293532
850,551,1,468350
588,980,8,4609920
889,455,8,3235960
561,776,4,1741344
470,867,2,814980
511,429,6,1315314
121,750,6,544500
992,893,2,1771712
916,102,1,93432
400,135,1,54000
161,829,1,133469
537,664,3,1069704
131,926,4,485224
972,544,7,3701376
800,591,10,4728000
950,553,7,3677450
921,630,10,5802300
296,432,4,511488
611,421,2,514462
424,822,8,2788224
686,229,3,471282
882,278,7,1716372
437,602,6,1578444
755,914,5,3450350
104,685,6,427440
639,563,7,2518299
822,847,2,1392468
315,621,2,391230
528,371,6,1175328
692,193,11,1469116
965,531,11,5636565
484,491,3,712932
501,803,3,1206909
811,699,9,5102001
722,558,5,2014380
814,588,10,4786320
401,104,11,458744
636,293,6,1118088
276,459,11,1393524
784,300,5,1176000
486,635,6,1851660
825,987,6,4885650
109,817,9,801477
173,470,9,731790
158,348,1,54984
547,711,9,3500253
829,573,8,3800136
248,605,8,1200320
846,217,11,2019402
435,322,9,1260630
338,689,5,1164410
894,258,7,1614564
174,483,2,168084
176,945,7,1164240
222,377,1,83694
639,439,3,841563
974,447,5,2176890
356,962,2,684944
922,476,9,3949848
691,893,4,2468252
604,354,6,1282896
982,778,10,7639960
761,768,7,4091136
997,721,8,5750696
670,412,5,1380200
547,117,10,639990
306,869,2,531828
899,680,2,1222640
189,677,6,767718
163,226,9,331542
477,420,5,1001700
327,889,2,581406
626,944,9,5318496
467,291,3,407691
420,621,10,2608200
462,672,5,1552320
844,894,10,7545360
699,462,6,1937628
549,555,3,914085
834,731,4,2438616
860,968,8,6659840
761,914,4,2782216
292,461,1,134612
601,837,11,5533407
826,461,4,1523144
210,711,11,1642410
847,130,6,660660
343,862,3,886998
370,817,7,2116030
533,396,1,211068
990,704,4,2787840
888,535,7,3325560
159,152,3,72504
300,350,6,630000
669,325,8,1739400
943,793,3,2243397
564,827,1,466428
949,998,3,2841306
271,941,11,2805121
998,299,2,596804
561,232,8,1041216
660,115,6,455400
339,394,9,1202094
275,407,6,671550
998,806,11,8848268
194,527,10,1022380
767,502,8,3080272
866,441,8,3055248
438,859,9,3386178
634,909,8,4610448
272,794,5,1079840
144,343,6,296352
178,232,11,454256
562,219,9,1107702
850,112,5,476000
147,531,11,858627
823,560,11,5069680
193,950,4,733400
474,776,5,1839120
134,685,7,642530
257,485,9,1121805
146,348,3,152424
745,424,6,1895280
552,244,6,808128
507,822,1,416754
700,193,3,405300
631,148,9,840492
672,315,9,1905120
678,274,4,743088
209,175,11,402325
147,107,1,15729
138,579,2,159804
155,557,6,518010
319,771,2,491898
740,286,2,423280
793,467,6,2221986
358,246,10,880680
983,737,3,2173413
962,289,4,1112072
306,245,2,149940
795,923,7,5136495
105,814,3,256410
489,729,9,3208329
528,876,3,1387584
926,100,11,1018600
298,941,7,1962926
178,437,11,855646
806,744,11,6596304
704,228,7,1123584
386,798,11,3388308
907,598,1,542386
100,380,6,228000
801,944,8,6049152
902,264,1,238128
454,757,9,3093102
785,717,2,1125690
452,186,5,420360
502,956,3,1439736
135,864,7,816480
149,914,9,1225674
608,562,9,3075264
209,530,11,1218470
807,638,11,5663526
727,496,7,2524144
610,752,3,1376160
748,193,6,866184
490,107,3,157290
738,424,5,1564560
965,761,4,2937460
632,741,8,3746496
316,827,2,522664
342,868,5,1484280
666,128,7,596736
181,522,7,661374
856,254,2,434848
812,221,2,358904
344,564,10,1940160
667,999,4,2665332
300,460,7,966000
566,856,3,1453488
261,975,7,1781325
356,349,4,496976
245,441,5,540225
646,753,5,2432190
646,505,7,2283610
722,677,4,1955176
464,627,5,1454640
344,389,10,1338160
297,817,3,727947
453,528,6,1435104
885,790,3,2097450
324,394,5,638280
779,373,11,3196237
804,363,7,2042964
565,523,1,295495
897,848,3,2281968
889,991,7,6166993
610,164,2,200080
519,702,7,2550366
405,958,4,1551960
398,371,4,590632
461,323,8,1191224
933,402,5,1875330
934,517,5,2414390
876,963,8,6748704
399,589,8,1880088
794,439,1,348566
345,666,10,2297700
204,416,4,339456
157,187,8,234872
715,472,2,674960
274,251,7,481418
784,539,3,1267728
779,177,4,551532
937,209,3,587499
166,961,5,797630
286,151,9,388674
477,709,8,2705544
303,193,4,233916
536,848,3,1363584
435,138,8,480240
546,177,1,96642
660,483,11,3506580
340,524,10,1781600
686,224,2,307328
602,553,7,2330342
944,973,7,6429584
473,629,1,297517
336,327,10,1098720
394,631,1,248614
812,546,6,2660112
893,207,2,369702
238,550,11,1439900
267,314,11,922218
952,432,9,3701376
953,690,8,5260560
942,984,5,4634640
817,413,6,2024526
624,826,2,1030848
495,983,10,4865850
685,595,1,407575
749,776,6,3487344
813,842,9,6160914
424,876,8,2971392
403,485,5,977275
515,477,11,2702205
613,892,11,6014756
433,296,10,1281680
650,718,7,3266900
478,703,10,3360340
430,167,3,215430
713,542,11,4250906
699,646,7,3160878
984,119,3,351288
288,905,11,2867040
233,241,3,168459
787,392,3,925512
567,670,6,2279340
752,514,6,2319168
813,278,2,452028
327,896,4,1171968
545,408,7,1556520
412,910,1,374920
882,743,4,2621304
133,700,9,837900
166,795,2,263940
600,811,3,1459800
307,521,4,639788
402,785,1,315570
833,423,3,1057077
772,918,6,4252176
841,805,10,6770050
100,414,11,455400
181,703,3,381729
465,185,5,430125
779,701,7,3822553
214,368,11,866272
868,196,11,1871408
988,590,7,4080440
427,259,6,663558
992,165,2,327360
914,443,2,809804
180,344,10,619200
635,235,4,596900
633,256,6,972288
272,221,1,60112
887,805,9,6426315
757,987,1,747159
743,945,9,6319215
611,552,9,3035448
897,734,9,5925582
376,666,5,1252080
786,425,1,334050
891,330,7,2058210
165,357,11,647955
257,851,5,1093535
708,475,5,1681500
535,360,9,1733400
427,463,3,593103
467,518,11,2660966
959,710,1,680890
689,637,10,4388930
147,206,6,181692
240,324,6,466560
159,738,3,352026
648,477,6,1854576
974,558,1,543492
951,602,8,4580016
542,694,1,376148
227,408,10,926160
438,441,6,1158948
288,358,6,618624
135,275,10,371250
794,901,9,6438546
121,769,8,744392
507,561,4,1137708
998,282,4,1125744
636,574,2,730128
287,993,7,1994937
384,887,1,340608
208,704,8,1171456
340,527,2,358360
985,257,2,506290
727,604,3,1317324
760,687,2,1044240
507,775,4,1571700
509,730,11,4087270
813,345,1,280485
911,550,4,2004200
113,688,4,310976
383,540,8,1654560
820,219,2,359160
341,403,6,824538
385,613,11,2596055
862,346,8,2386016
136,938,10,1275680
945,772,9,6565860
935,908,1,848980
958,509,8,3900976
300,678,11,2237400
233,174,5,202710
165,319,2,105270
739,774,4,2287944
255,275,9,631125
389,560,1,217840
631,153,10,965430
598,694,7,2905084
115,870,2,200100
771,623,3,1440999
439,758,4,1331048
415,905,7,2629025
581,470,11,3003770
653,986,9,5794722
138,493,6,408204
482,547,1,263654
431,395,7,1191715
398,399,6,952812
602,293,3,529158
399,180,1,71820
887,892,2,1582408
936,769,11,7917624
938,776,6,4367328
172,125,4,86000
767,316,2,484744
141,616,5,434280
678,932,8,5055168
843,161,2,271446
478,373,11,1961234
625,998,7,4366250
642,500,4,1284000
743,562,8,3340528
566,327,11,2035902
582,810,10,4714200
674,667,1,449558
574,219,2,251412
281,939,7,1847013
876,100,2,175200
327,611,5,998985
624,411,10,2564640
542,324,7,1229256
592,497,1,294224
873,917,10,8005410
865,352,9,2740320
867,997,2,1728798
563,276,6,932328
999,731,2,1460538
610,996,6,3645360
827,454,1,375458
402,441,2,354564
519,934,10,4847460
450,982,9,3977100
233,497,7,810607
740,887,7,4594660
788,479,1,377452
978,138,8,1079712
518,656,3,1019424
501,733,10,3672330
972,694,5,3372840
852,575,3,1469700
174,286,1,49764
513,857,1,439641
333,157,4,209124
720,138,3,298080
734,884,3,1946568
561,913,2,1024386
135,395,9,479925
192,196,3,112896
553,448,5,1238720
601,777,2,933954
792,262,9,1867536
754,380,4,1146080
403,981,3,1186029
928,677,7,4397792
980,612,10,5997600
485,722,5,1750850
669,770,4,2060520
896,777,3,2088576
996,456,2,908352
361,873,9,2836377
747,559,7,2923011
512,674,8,2760704
477,303,10,1445310
482,924,6,2672208
844,276,3,698832
591,248,2,293136
254,375,2,190500
884,534,2,944112
101,213,4,86052
878,740,5,3248600
690,956,10,6596400
712,260,11,2036320
215,126,4,108360
529,792,7,2932776
343,355,10,1217650
744,748,8,4452096
857,318,10,2725260
161,593,1,95473
648,292,8,1513728
180,293,8,421920
202,681,1,137562
672,224,3,451584
962,101,9,874458
541,909,6,2950614
210,806,3,507780
603,349,5,1052235
960,248,9,2142720
627,751,10,4708770
547,404,7,1546916
573,923,11,5817669
501,210,5,526050
417,757,10,3156690
108,489,6,316872
259,905,2,468790
506,761,9,3465594
346,532,3,552216
363,892,7,2266572
246,539,4,530376
307,533,5,818155
147,609,1,89523
292,420,4,490560
987,238,3,704718
975,643,9,5642325
263,198,4,208296
180,814,1,146520
674,755,9,4579830
162,922,3,448092
263,694,3,547566
445,146,3,194910
432,664,6,1721088
376,552,8,1660416
866,521,3,1353558
986,821,4,3238024
226,752,4,679808
375,793,3,892125
339,253,8,686136
781,417,7,2279739
172,430,10,739600
227,593,11,1480721
513,612,9,2825604
793,261,5,1034865
359,953,9,3079143
571,457,2,521894
919,102,7,656166
324,185,10,599400
591,574,9,3053106
478,236,10,1128080
420,398,8,1337280
791,596,2,942872
256,160,9,368640
109,934,2,203612
697,841,5,2930885
960,690,1,662400
775,189,2,292950
493,971,7,3350921
507,618,10,3133260
641,679,8,3481912
186,672,8,999936
283,439,10,1242370
998,870,10,8682600
928,915,9,7642080
335,835,1,279725
710,735,9,4696650
374,533,9,1794078
452,715,10,3231800
118,300,8,283200
475,414,4,786600
900,405,1,364500
224,797,9,1606752
753,485,7,2556435
331,698,2,462076
426,473,7,1410486
714,505,1,360570
928,241,2,447296
504,685,11,3797640
289,566,2,327148
345,477,10,1645650
587,622,2,730228
876,967,3,2541276
907,299,5,1355965
727,620,7,3155180
241,371,2,178822
612,126,10,771120
484,512,4,991232
609,584,1,355656
298,318,7,663348
114,643,1,73302
134,189,6,151956
198,352,4,278784
975,293,1,285675
426,581,9,2227554
887,622,1,551714
952,135,8,1028160
133,459,10,610470
499,946,5,2360270
751,705,2,1058910
731,291,11,2339931
169,455,10,768950
758,900,4,2728800
336,783,2,526176
592,263,1,155696
274,929,1,254546
132,789,6,624888
431,263,4,453412
613,747,3,1373733
246,147,1,36162
649,875,11,6246625
759,484,1,367356
750,144,4,432000
445,188,11,920260
940,127,6,716280
928,548,3,1525632
180,194,6,209520
361,902,4,1302488
384,419,3,482688
552,278,6,920736
317,170,1,53890
194,360,4,279360
776,941,10,7302160
286,783,11,2463318
341,354,8,965712
242,133,11,354046
568,817,4,1856224
638,281,1,179278
753,687,3,1551933
758,925,8,5609200
363,267,4,387684
236,918,7,1516536
185,928,5,858400
964,460,8,3547520
545,612,1,333540
664,208,7,966784
944,581,10,5484640
756,649,3,1471932
978,427,10,4176060
471,903,2,850626
631,445,3,842385
780,433,8,2701920
528,455,4,960960
380,181,10,687800
881,861,11,8343951
447,941,8,3365016
484,841,3,1221132
790,687,11,5970030
669,861,8,4608072
825,284,8,1874400
946,632,1,597872
599,866,3,1556202
488,844,7,2883104
507,209,4,423852
374,942,4,1409232
416,398,11,1821248
875,313,7,1917125
439,143,1,62777
