a,b,c,d,exp
998.18,741.53,471.67,658.15,1219494.051
700.46,229.48,477.38,926.64,719462.516
210.45,536.92,507.52,371.83,302237.5829
371.03,974.05,421.18,999.48,316055.3333
780.98,878.79,372.25,246.05,748745.8729
496.87,382.43,311.3,286.15,344073.6369
879.79,877.12,434.73,596.38,963616.997
348.8,677.63,432.09,531.7,308894.9081
934.25,675.68,485.36,198.82,1108596.212
364.17,907.09,698.64,181.06,620898.6985
608.35,478.58,306.32,595.1,464516.7649
328.63,311.94,290.61,484.76,192936.609
610.49,159.65,683.22,941.98,840429.5885
146.79,224.3,256.15,861.17,88021.2966
522.86,140.33,215.9,353.91,320349.2996
528.01,284.59,869.98,875.11,1036534.871
126.58,610.18,118.91,183.03,30345.1145
476.06,992.82,768.16,172.43,816875.3392
551.16,188.42,370.67,501.49,441675.0845
365.3,398.61,457.27,514.45,343054.3929
331.38,112.27,667.33,429.49,555571.5233
800.43,862.61,186.74,423.11,675983.1225
519.9,568.37,152.1,945.82,294376.24
791.16,181.85,225.27,621.37,677302.0885
389.83,249.88,391.33,692.64,305799.2378
593.61,747.53,571.86,705.37,680102.0617
997.79,275.67,148.71,334.77,1018034.318
990.97,910.72,821.97,240.66,1657896.882
280.33,211.36,399.89,401.96,238898.881
774.45,326.48,483.39,144.31,833583.0046
135.1,269.53,785.34,500.3,635511.2256
945.1,451.52,838.29,967.63,1596911.764
226.39,960.71,760.92,361.83,630613.5085
864.12,111.74,531.45,409.6,1029552.077
963.46,367.72,563.84,795.18,1246965.897
195.42,923.4,601.15,640.05,400210.3489
294.17,250.67,217.83,377.17,134363.0678
605.73,516.63,577.25,780.02,700906.4154
137.59,590.42,511.39,177.62,280628.3602
407.61,320.42,174.79,787.69,197485.1462
309.71,197.43,343.09,510.14,214141.1722
196.05,561.28,789.86,296.85,662611.2721
499.05,348.69,681.6,676.45,714305.9125
427.26,217.81,615.53,860.26,562288.5485
324.89,817.17,953.59,145.49,1015032.89
781.02,908.06,895.56,330.53,1412350.484
655.51,583.57,581.53,995.07,768865.571
889.91,738.41,371.67,264.6,930342.997
792.77,342.17,266.63,182.72,699758.5498
389.07,629.34,971.36,269.74,1095185.455
287.07,361.78,960.51,532.35,1005520.995
602.79,251.43,374.17,378.44,503737.413
808.86,264.76,772.54,416.91,1251489.461
845.34,112.66,864.24,847.98,1462358.473
998.26,678.51,983.88,187.34,1964730.222
841.78,610.71,479.52,376.42,938909.4188
240.74,569.25,856.33,386.05,791642.8665
303.18,191.54,712.12,369.83,599402.8368
818.95,641.12,105.72,563.88,682419.7009
238.88,289.61,391.43,827.3,211108.3993
300.27,776.87,234.65,941.93,146164.6254
829.84,572.48,577.23,551.29,1022380.189
353.71,962.66,452.16,833.82,330393.2497
443.09,341.83,697.36,534.66,683174.3777
104.1,821.7,760.66,535.14,589975.5856
816.74,624.85,751.78,625.92,1232863.316
567.48,346.51,332.55,293.16,432916.2129
538.46,715.39,564.42,266.39,608775.498
485.46,506.69,481.51,945.48,468468.7717
583.45,509.06,509.07,489.04,600055.2074
169.82,121,127.77,760.41,45924.4153
429.76,134.19,195.11,968.82,223730.3897
447.19,505.45,477.89,489.42,428847.1682
581.6,962.4,578.33,830.79,673554.9389
548.89,891.11,152.75,983.28,325596.0746
363.29,709.42,153.62,110.8,155689.5285
344.88,930.8,663.31,570.51,559492.8805
940.92,465.97,893.42,201.14,1683730.883
371.65,560.55,457.49,430.36,347851.1826
562.35,372.75,794,792.61,947466.1325
665.73,583.48,679.73,357.84,905587.1458
234.24,354.73,816.76,834.36,722799.6352
288.07,497.67,112.58,643.64,96302.2213
177.56,231.49,312.43,956.99,130097.0485
756.9,912.66,648.37,442.99,993724.2569
507.06,852.16,579.32,933.43,593654.936
903.5,735.52,911.52,830.97,1648011.93
920.5,705.83,625.38,516.85,1238937.244
594.68,992.72,275.95,905.32,430698.0249
149.79,321.48,517.84,865.76,291461.0697
689.66,150.39,238.9,267.25,532971.3756
273,892.68,246.79,414.76,135849.0641
429.75,635.55,168.97,243.17,213479.0934
569.19,441.77,782.86,748.69,937595.7257
135.92,395.63,364.67,492.65,151951.1053
101.48,528.17,415.45,924.27,183821.1629
427.3,499.65,388.93,307.93,334159.7649
335.62,237.99,456.35,407.34,321303.4469
104.72,892.24,713.78,642.89,521091.0568
451.31,513.27,440.38,487.94,398103.2005
457.03,782.38,517.29,990.69,477456.055
944.05,891.15,781.94,729.21,1503389.776
388.1,365.05,342.96,460.28,268703.4516
687.7,473.1,582.03,279.01,811969.2209
157.97,211.41,744.65,589.01,580047.1534
378.64,423.41,210.48,743.64,188413.72
918.21,546.06,781.64,615.7,1454686.394
372.56,660.54,845.93,879.84,855278.3585
536.47,114.07,988.19,864.3,1265183.837
434.59,671.1,153.41,295.79,212698.8862
778.53,298.61,219.69,163.95,654536.607
351.4,874.41,539.46,544.96,415044.0116
231.72,543.01,491.21,812.59,295794.0125
775.4,365.78,768.86,287.78,1192678.64
754.21,806.05,442.8,898.1,765802.6641
755.36,849.03,333.59,967.1,682818.1177
897.91,326.16,912.08,528.92,1638661.215
295.96,473.65,605.35,737.43,454778.3741
666,735.86,345.75,327.42,563426.4825
645.98,944.68,366.11,491.26,551817.9525
701.53,122.61,894.14,283.13,1291913.811
866,455.71,531.35,194.38,1032483.203
433.71,996.01,285.09,482.72,269863.3922
294.81,207.17,145.69,694.15,108832.6622
672.41,405.95,314.19,479.55,551330.1142
714.47,155.5,296.96,219.06,598871.6825
734.55,151.65,736.2,950.28,1082504.423
192.39,670.07,493.96,742.98,281753.3737
487.2,315.76,844.85,353.69,951489.0525
141.6,597.03,518.05,688.27,289114.6325
942.65,380.26,427.4,599.2,1071858.983
221.58,262.52,179.76,722.17,82133.524
483.7,156.34,587.42,653.82,579681.7664
347.2,860.69,298.66,327.95,210073.5856
894.79,143.59,378.12,890.76,944514.6385
867.69,256.98,389.71,223.48,904983.3002
929.73,316.49,961.68,861.54,1790087.835
529.63,572.1,676.79,510.24,739062.881
916.13,508.96,870.07,122.58,1596438.562
581.51,114.08,325.72,685.43,444932.8285
899.92,381.45,288.22,783.19,893709.9648
896.55,636.88,992.93,769.54,1790481.427
986.38,485.72,709.84,499.64,1477317.97
133.23,433.54,879.52,441.63,791747.2933
154.42,223.33,888.23,540.66,813338.7293
677.91,150.43,727.1,175.55,988411.9281
779.64,523.64,940.42,455.37,1492683.676
960.9,852.41,768.14,992.51,1514360.38
391.66,157.01,311.72,521.36,251088.274
745.41,125.91,721.55,421.18,1076691.651
838.18,486,858.38,312.47,1439674.407
195.58,744.18,205.46,945.33,81410.678
658.55,515.68,894.36,842.64,1234410.552
481.06,117.02,353.33,236.21,356497.0225
765.74,153.14,992.22,415.65,1571273.926
478.15,905.03,712.29,611.84,736596.3066
240.91,285.97,786.58,758.16,677503.8845
986.79,904.07,691.46,341.59,1452213.026
188.28,692.62,660.19,314.91,471615.1045
354.98,835.71,232.72,583.43,180752.8288
908.44,103.36,589.93,309.72,1173590.359
966.99,171.34,394.24,553.3,1091048.138
907.71,543.45,375.03,839.27,965424.215
804.11,667.03,178.71,742.63,679272.7862
195.39,907.49,687.24,126.6,510602.6697
125.12,801.45,795.75,488.5,649361.5769
912.7,434.65,544.97,925.9,1130939.491
435.28,830.13,605.14,560.04,556223.138
228.76,796.27,281.55,767.42,132368.9601
102.62,965.2,190.67,799.74,47685.6533
619.8,790.7,326.39,805.32,491487.7921
501.03,826.2,983.58,174.54,1218635.217
635.41,883.58,128.69,290.47,420597.4542
776.65,228.31,672.4,982.51,1056289.493
733.98,960.23,110.71,771.18,551754.5245
357.57,856.95,250.55,337.55,190969.1574
310.79,620.65,394.54,477.14,252729.3757
474.69,958.7,240.05,712.06,283666.6586
920.12,482.87,241.04,782.05,905503.146
688.61,327.68,571.43,620.39,801336.367
483.67,141.8,335.51,648.35,347151.979
330.73,600.86,915.68,201.24,948053.4353
205.62,470.31,595.76,929.01,398138.572
473.2,914.86,943.87,340.71,1115149.527
926.85,824.64,902.92,778.79,1675094.239
728.79,671.71,284.4,281.59,612299.8141
250.76,468.25,335.6,465.03,175972.9676
509.76,489.7,309.63,383.82,356109.8145
271.35,600.75,521.6,970.56,346667.9425
749.18,386.81,891.27,338.77,1355971.655
459.39,152.7,436.85,893.26,402770.3546
703.76,410.16,692.05,915.55,975126.8901
253.85,526.77,532.29,629.66,348402.1266
986.22,705.07,616.27,181.05,1352599.651
151.08,793.39,790.36,520.37,648014.466
548.63,838.02,770.81,426.6,895569.533
724.36,614.68,247.66,398.6,586431.4852
392.95,817.01,368.15,946.47,290890.595
464.56,758.39,326.56,379.91,322837.3372
313.98,713.01,339.74,778.15,214784.858
901.61,214.98,886.7,817.37,1599954.852
546.09,395.47,421.91,677.09,476899.4262
109.21,508.88,342.7,567.74,129937.8541
679.07,731.93,244.68,960.73,521965.0973
194.66,168.8,168.79,525.77,66908.3497
529.82,628.29,564.82,474.39,600205.2548
785.56,513.34,909.97,994.66,1446144.575
825.98,957.29,388.25,116.84,833097.8629
396.63,870.42,164.32,481.81,184798.2293
458.47,334.22,677.05,310.02,668901.4634
892.39,658.27,451.31,917.99,1000958.618
207.58,607.71,616.03,178.35,422760.7673
129.15,661.31,804.78,950.57,665301.1409
729.23,747.48,796.33,707.37,1166625.232
277.92,715.11,513.74,256.5,341424.814
714.31,905.05,815.74,315.14,1175985.664
959.16,968.2,355.2,199.99,1046354.936
121.5,367.26,690.99,325.97,492555.4001
948.4,652.96,282.33,336.13,979508.9189
462.93,693.37,172.23,429.9,244397.2578
359.08,906.01,506.71,580.57,386274.0405
259.84,143.45,734.7,488.04,607788.9556
910.04,903.18,277.06,972.33,905907.3752
664.6,724.19,305.13,474.9,535272.3769
489.19,946.92,284.58,336.22,320628.8525
103.54,439.45,721,876.08,531437.6116
673.58,820.46,361.23,202.01,584399.1393
973.72,667.21,486.22,174.41,1184714.937
663.7,520.43,666.58,448.75,885275.3364
785.35,731.67,540.16,614.1,909161.5481
990.99,100.31,214.29,690.85,1028672.234
943.48,511.94,527.33,208.56,1168439.999
925.23,954.24,520.28,424.99,1127166.821
584.26,792.05,902.76,782.78,1157118.145
709.99,202.42,551.19,517.21,808413.4262
666.57,925.22,742.38,830.89,996274.5193
342.01,845.46,530,217.28,398088.1201
619.85,488.17,976.15,176.34,1337259.185
449.45,235.04,709.18,234.18,705175.7549
762.02,231.1,201.58,622.56,621931.5368
685.88,368.02,392.67,856.57,625477.6733
554.24,222.56,986.07,272.36,1279788.383
498,123.35,939.4,600.56,1131076.92
689.14,203.91,365.89,946.96,609736.3917
367.73,788.32,173.03,814.35,165979.0838
224.59,984.42,375.21,866.91,192090.1222
333.59,669.58,376.37,827.4,253764.065
840.4,986.66,287.9,127.09,789285.66
109.77,165.35,663.3,881.86,452898.2029
273.01,220.49,581.01,151.27,412258.3502
236.37,670.45,391.95,963.44,210459.0194
387.76,851.44,821.66,561.94,826044.9132
864.15,720.9,454.7,894.77,954402.0825
201.23,935.22,297.32,701.84,129594.5353
458.37,797.63,642.3,718.65,623370.9969
853.4,735.51,933.8,749.39,1601023.39
903.78,843.13,766.13,253.83,1404027.295
265.37,631.99,717.52,571.53,585827.7173
627.78,370.76,135.43,553.66,413002.6733
785.62,736.14,559.17,241.97,930111.8433
420.51,481.97,867.5,788.8,930173.7101
263.71,491.14,839.53,192.4,774545.985
882.17,634.75,487.34,408.45,1016132.635
901.31,433.79,299.68,248.25,902416.0685
713.8,359.73,868.76,451.03,1264705.408
536.31,696.75,993.03,637.53,1274374.527
487.56,381.63,853.23,872.87,966589.0565
911.85,354.98,730.41,751.38,1365720.571
907.02,385.29,936.54,423.47,1700215.922
453.8,993.16,106,986.71,218157.15
780.18,531.21,663.34,859.87,1049560.658
776.83,610.73,348.22,744.84,725466.8573
323.08,486.55,144.35,418.8,125636.4089
110.19,407.23,133.26,805.64,30705.7037
506.53,970.78,424.44,163.82,436885.7745
730.7,389.03,675.33,136.36,990129.4589
338.12,712.13,831.72,901.05,806984.3428
548.79,690.47,970.01,242.22,1242332.084
508.8,651.81,394.68,624.94,415274.6824
502.89,751.62,727.78,187.3,782749.3805
279.15,764.39,446.58,581.43,277939.8489
939.66,158.94,430.36,365.01,1068535.655
201.29,491.77,171.67,376.9,70365.153
855.17,718.79,100.55,952.54,742378.5714
251.34,926.82,633.96,377.54,465454.6172
772.39,610.83,568.96,882.75,921184.5437
861.1,196.34,268.68,373.79,814055.9424
934.3,971.65,304.49,146.1,965776.7501
194.08,898.87,598.33,373.75,396039.5853
564,750.82,568.78,507.17,642113.8584
538.81,745.14,809.72,916.99,946879.6845
478.48,513.76,730.87,250.88,763364.9473
134.62,191.75,436.13,583.86,208915.7813
314.21,557.5,532,436.1,382188.0241
114.58,804.09,105.36,598.26,24827.566
448.73,486.4,544.24,721.28,498277.0705
512.17,922.12,831.71,859.99,954919.623
505.25,908.59,611.37,928.2,629979.0394
444.82,205.09,773.1,355.37,795903.8124
799.63,847.87,474.81,110.48,864963.153
986.81,517.33,144.76,228.33,994977.7637
867.01,908.61,561.47,653.49,1067608.391
357.04,142.7,905.41,880.11,948124.9397
680.22,869.12,865.48,774.55,1212529.429
424.26,711.44,415.12,737.99,353059.152
156.82,238.58,997.61,861.79,1020680.015
522.82,186.35,894.26,410,1073451.7
234.76,598,406.28,435.73,220611.426
865.17,411.18,318.86,279.78,850470.6085
916.41,895,740.45,259.13,1388332.621
219.7,743.05,182.66,754.84,82387.6056
394.65,997.72,816.33,153.94,822297.2314
551.86,667.62,150.48,255.91,327449.6
506.15,712.46,471.27,692.23,478975.4654
603.95,386.52,349.97,318.13,487552.7334
690.8,489.66,711.91,462.18,984482.6681
260.11,950.24,367.38,204.59,202829.8665
503.02,994.78,518.18,598.39,522138.0228
681.34,695.21,150.36,541.63,487373.9552
317.61,950.01,217.21,720.22,148776.5162
911.75,786.94,405.6,252.32,996051.7425
128.2,867.26,868.68,327.55,771367.7324
410.8,268.34,814.42,325.27,832361.8464
145.94,966.74,841.66,158.07,729848.1092
489.93,542.89,264.97,867.68,311108.1858
576.08,527.87,344.71,918.11,451611.2605
200.12,653.21,690.45,684.36,517453.5769
864.86,423.6,133.95,735.93,766661.3521
460.66,371.73,350.11,411.85,335196.4977
373.34,154.98,449.44,764.92,342143.9892
437.68,699.36,884.96,193.44,974911.424
288.52,667.22,547.5,222.27,383222.3104
805.97,143.35,803.9,512.32,1296355.171
110.97,154.8,157.71,344.28,37531.065
246.62,226.32,301.5,806.84,152530.5144
523.29,326.97,432.46,202.37,461056.4457
857.34,402.54,366.99,274.95,869988.4857
731.38,970.42,289.85,309.12,619238.8469
972.72,696.26,436.82,375.62,1137371.531
928.69,788.95,477.79,622.4,1091370.8
450.96,713.06,370.12,454.86,340808.596
117.72,469.69,492.72,125.94,256756.9368
538.95,118.86,533.6,331.57,575527.6325
464.81,969.2,847.07,103.76,933679.681
396.68,468.83,997.47,524.08,1152825.503
433.14,366.43,577.57,586.79,521784.1545
568.4,109.84,275.86,766.41,399943.7096
359.45,233.78,190.42,433.24,165897.3189
253.6,295.9,732.87,639.96,602051.3569
798.8,164.46,844.91,415.95,1352370.298
212.6,468.66,976.5,104.12,998855.13
253.8,436.27,793.4,183.42,694081.42
265.14,981.5,981.29,401.38,1033630.664
386.21,277.53,685.9,104.94,619721.9141
458.7,219.12,462.5,191.47,424503.41
894.66,448.4,461.97,614.35,1014447.147
271.75,582.7,817.64,288.1,742671.3321
171.79,925.94,389.09,662.93,181565.7622
709.72,556.41,743.13,989.98,1056934.655
857.34,973.86,886.58,939.64,1521995.612
797.25,107.23,791.62,600.1,1262869.887
534.28,301.2,374.92,478.39,426498.5148
995.5,703.07,921.8,798.63,1841534.12
718.99,514.49,164.41,724.22,544701.4882
852.11,206.68,815.51,858.18,1392006.192
779.14,201.72,583.84,508.16,948436.4452
569.18,550.4,928.95,115.87,1187029.845
201.07,893.72,543.48,781.61,336581.2653
582.47,475.18,965.3,775.34,1271850.731
986.78,735.98,547.5,660.49,1274151.508
340.08,383.36,241.92,601.59,174781.2828
735.77,246.48,545.01,699.99,839093.383
780.27,942.36,734.71,650.4,1149270.457
501.28,603.77,989.95,974.62,1232257.261
818.03,295.78,579.81,881.14,1006233.857
418.67,525.13,363.89,351.11,308051.611
945.9,248.44,574.31,405.95,1224964.736
517.84,322.93,324.61,990.54,374520.4577
232.59,224.85,547.6,847.35,354811.2181
241.48,320.59,680.12,716.62,521592.4248
729.48,126.86,159.1,437.03,557890.9104
164.6,979.46,535.7,419.91,314487.56
698.86,163.54,873.38,919.98,1252117.904
692.92,707.72,928.12,159.32,1341704.181
442.79,422.96,700.28,274.4,686729.4625
819.85,422.81,591.62,372.13,1022540.377
344.27,745.91,455.04,567.65,326150.8845
276.67,608.97,755.35,812.62,647912.5314
326.92,257.4,232.24,816.83,161628.934
317.1,921.04,855.92,718.26,833869.7164
641.98,278.43,290.39,222.92,496687.5925
873.03,441.39,654.19,638.16,1190784.097
433.53,148,355.36,313.4,314542.3905
503.65,595.52,888.35,382.38,1043211.425
457.62,887.88,908.76,207.16,1035467.962
798.33,765.28,181.04,944.96,671051.2305
942.81,236.34,934.03,844.99,1762147.727
612.33,587.84,247.99,631.11,437078.179
222.65,360.22,747.09,141.97,607858.4606
768.69,451.51,842.83,698.22,1301944.945
680.63,980.25,933.17,957.55,1335020.996
592.03,363.54,607.79,570.89,720479.095
209.11,264.55,143.88,744.75,65173.1965
976.93,381.66,815.38,352.18,1619588.949
167.45,380.57,233.63,311.48,82933.9594
293.67,867.79,269.88,239.01,159316.2933
228.12,208.57,615.81,793.91,432054.6005
339.83,336.77,785.3,639.1,732819.6189
691.33,200.62,245.41,998.79,539162.027
898.67,956.98,236.91,700.74,864434.857
472.27,467.34,274.19,588.64,298807.749
820.01,609.9,918.24,163.61,1515744.708
519.86,170.16,817.37,252.43,938600.5665
977.11,619.18,751.7,739.49,1520536.332
872.23,832.7,559.58,986.32,1074901.269
931.54,989.68,155.98,805.89,892902.422
650.12,842.77,777.21,324.75,1027036.149
351.69,955.07,697.82,720.75,611359.3585
239.14,370.03,571.07,721.45,384030.3345
844.66,809.47,155.73,342.47,738044.8185
561.52,732.05,751.74,790.76,881208.498
478.48,530.7,878.55,364.06,1001157.273
436.75,862.39,179.13,673.35,223511.4694
452.99,496.13,132.67,270.73,223071.999
606.44,664.05,815.61,515.89,1033505.036
845.46,388.99,599.18,220.86,1074040.144
270.11,126.39,998.36,780.41,1070462.512
847.44,478.67,726.55,751.72,1246781.176
945.94,366.36,253.17,206.35,959103.8825
370.42,923.04,347.07,683.79,258352.3513
499.29,516.22,138.85,904.08,269473.9066
695.22,684.78,679.28,174.44,944926.6068
855.06,516.87,968.23,244.51,1668841.447
481.03,556.84,303.85,974.93,324689.6134
718.41,280.01,960.89,542.63,1439965.15
244.02,149.77,500.88,247.53,310674.0648
762.46,791.66,180.85,484.6,614536.5741
842.27,374.2,381.5,826.13,855787.1329
264.16,387.34,430.1,916.83,255683.3456
891.14,193.86,398.74,137.6,953261.6872
530.14,323.54,682.69,130.53,747244.5857
798.74,415.64,616.19,427,1018102.704
776.76,934.24,380.58,184.4,748381.634
538.31,337.5,145.15,417.45,311263.6286
518.72,348.56,198.08,578.92,308885.0448
956.77,277.27,624.75,248.01,1305969.405
352.8,514.65,432.5,460.06,311984.15
462.23,369.23,327.28,366.12,321134.8913
437.27,360.91,551.61,275.62,495754.265
144.09,202.66,810.89,703.55,679008.0702
239.28,539.3,164.85,345.43,84775.8709
415.46,941.25,966.53,172.04,1106959.293
885.27,128.91,952.79,781.22,1692292.977
760.67,930.25,518.26,249,847461.2765
176,832.76,905.64,587.93,851747.7396
506.39,966.11,830.25,864.24,946610.1346
841.99,525.18,279.85,412.59,787675.7726
162.04,142.25,889.96,529.02,818814.7832
499.65,456.97,746.97,347.3,807961.6034
284.95,687.58,421.86,362.88,259525.2421
587.74,872.6,627.85,456.22,740090.1501
760.74,769.28,630.53,685.12,976978.5485
384.16,403.19,822.97,543.04,825401.5665
486.95,120.33,165.62,194.02,264744.3069
839.74,288.73,370.38,753.17,843097.782
247.55,377.21,710.15,378.58,565972.605
395.16,194.24,662.83,108.28,595603.3145
720.61,585.59,499.82,607.53,769706.3345
270.88,480.43,525.23,595.24,349837.7673
360.17,256.81,641.17,887.3,541708.6978
503.11,129.06,299.6,793.58,343673.4121
414.19,209.1,384.09,311.91,319390.3942
729.71,110.9,206.54,770.02,575905.4757
523.71,954.24,131.13,575.73,292042.971
469.71,776.04,742.36,788.53,772514.3837
317.85,261.1,909.37,678.16,928660.5794
144.13,144.24,626.86,173.79,413900.7065
182.65,237.92,175.09,920.33,64937.8606
557.91,154.17,512.11,663.12,574183.3402
118.13,672.48,510.15,609.53,274817.2494
585.26,368.53,625.76,651.77,734756.6152
998.11,285.29,585.08,232.66,1338774.839
634.57,835.23,839.87,758.28,1108818.982
815.4,423.13,985.67,897.7,1637320.209
796.6,659.15,558.27,438.55,946675.5029
126.89,286.09,291.75,414.87,101634.0046
231.79,267.94,877.42,976.29,824568.7505
